Category: All categories

Day,cough + ubo: (Metro Manila),fever + lagnat: (Metro Manila),covid symptoms: (Metro Manila),flu + trangkaso: (Metro Manila),swab test: (Metro Manila)
2020-02-01,23,20,0,35,0
2020-02-02,23,27,0,33,0
2020-02-03,19,21,0,31,0
2020-02-04,19,20,0,23,0
2020-02-05,25,18,0,19,0
2020-02-06,20,16,0,18,0
2020-02-07,18,17,0,16,0
2020-02-08,20,15,0,12,0
2020-02-09,16,21,0,14,0
2020-02-10,17,20,0,13,0
2020-02-11,13,16,0,11,0
2020-02-12,13,22,0,9,0
2020-02-13,13,16,0,12,0
2020-02-14,9,11,0,8,0
2020-02-15,13,17,0,7,0
2020-02-16,20,20,0,6,0
2020-02-17,15,15,0,6,0
2020-02-18,13,22,0,8,0
2020-02-19,11,20,0,9,0
2020-02-20,16,18,0,4,0
2020-02-21,13,16,0,6,0
2020-02-22,16,18,0,6,0
2020-02-23,14,18,0,6,0
2020-02-24,15,18,0,7,0
2020-02-25,13,19,0,9,0
2020-02-26,14,19,0,5,0
2020-02-27,15,20,0,7,0
2020-02-28,12,15,0,11,0
2020-02-29,14,13,4,8,0
2020-03-01,15,13,4,8,0
2020-03-02,13,20,3,9,0
2020-03-03,14,15,3,9,0
2020-03-04,17,18,0,5,0
2020-03-05,13,13,5,6,0
2020-03-06,14,16,16,8,0
2020-03-07,17,22,34,16,0
2020-03-08,17,21,28,18,0
2020-03-09,28,26,62,28,0
2020-03-10,26,23,54,30,0
2020-03-11,26,28,51,29,0
2020-03-12,32,31,77,34,0
2020-03-13,39,31,85,34,0
2020-03-14,48,39,95,47,0
2020-03-15,56,46,83,48,0
2020-03-16,43,40,98,100,0
2020-03-17,41,39,74,50,0
2020-03-18,43,42,66,38,0
2020-03-19,35,38,62,37,0
2020-03-20,34,39,61,32,0
2020-03-21,42,39,60,33,0
2020-03-22,45,38,71,34,0
2020-03-23,49,27,67,34,0
2020-03-24,40,32,70,33,0
2020-03-25,42,31,65,33,0
2020-03-26,46,42,68,29,0
2020-03-27,37,33,55,24,0
2020-03-28,35,29,51,28,0
2020-03-29,32,30,50,29,0
2020-03-30,25,26,39,26,0
