Category: All categories

Day,cough + ubo: (Cordillera Administrative Region),fever + lagnat: (Cordillera Administrative Region),covid symptoms: (Cordillera Administrative Region),flu + trangkaso: (Cordillera Administrative Region),swab test: (Cordillera Administrative Region)
2020-02-01,0,0,0,0,0
2020-02-02,0,0,0,0,0
2020-02-03,0,0,0,53,0
2020-02-04,0,0,0,0,0
2020-02-05,0,0,0,0,0
2020-02-06,0,0,0,0,0
2020-02-07,70,0,0,0,0
2020-02-08,0,0,0,0,0
2020-02-09,0,0,0,0,0
2020-02-10,0,0,0,0,0
2020-02-11,0,0,0,0,0
2020-02-12,0,65,0,0,0
2020-02-13,0,0,0,0,0
2020-02-14,0,0,0,0,0
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,49,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,54,0,0,0,0
2020-02-25,0,0,0,49,0
2020-02-26,0,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,0,0,0,0,0
2020-02-29,0,0,0,0,0
2020-03-01,0,0,0,0,0
2020-03-02,0,0,0,0,0
2020-03-03,0,0,0,0,0
2020-03-04,0,0,0,0,0
2020-03-05,0,0,0,0,0
2020-03-06,0,54,0,0,0
2020-03-07,0,0,0,0,0
2020-03-08,0,0,0,0,0
2020-03-09,0,0,0,0,0
2020-03-10,0,0,0,0,0
2020-03-11,0,0,50,0,0
2020-03-12,0,0,79,0,0
2020-03-13,64,0,82,0,0
2020-03-14,0,0,57,0,0
2020-03-15,0,0,0,0,0
2020-03-16,0,0,81,62,0
2020-03-17,54,0,57,53,0
2020-03-18,72,0,0,0,0
2020-03-19,0,0,62,0,0
2020-03-20,0,64,0,0,0
2020-03-21,0,0,87,0,0
2020-03-22,0,0,100,0,0
2020-03-23,0,0,84,0,0
2020-03-24,0,0,0,0,0
2020-03-25,0,0,59,0,0
2020-03-26,58,0,0,0,0
2020-03-27,58,0,0,0,0
2020-03-28,0,0,0,0,0
2020-03-29,0,0,0,0,0
2020-03-30,0,0,0,0,0
