Category: All categories

Day,cough + ubo: (Calabarzon),fever + lagnat: (Calabarzon),covid symptoms: (Calabarzon),flu + trangkaso: (Calabarzon),swab test: (Calabarzon)
2020-02-01,29,37,0,38,0
2020-02-02,24,31,0,37,0
2020-02-03,22,29,0,33,0
2020-02-04,20,11,0,16,0
2020-02-05,19,27,0,14,0
2020-02-06,21,23,0,12,0
2020-02-07,18,17,0,11,0
2020-02-08,18,18,0,18,0
2020-02-09,23,26,0,13,0
2020-02-10,18,20,0,14,0
2020-02-11,22,23,0,8,0
2020-02-12,25,20,0,10,0
2020-02-13,21,21,0,8,0
2020-02-14,18,16,0,9,0
2020-02-15,17,18,0,9,0
2020-02-16,25,20,0,10,0
2020-02-17,22,25,0,7,0
2020-02-18,19,22,0,7,0
2020-02-19,19,20,0,9,0
2020-02-20,17,24,0,9,0
2020-02-21,32,16,0,8,0
2020-02-22,22,17,0,0,0
2020-02-23,19,21,0,8,0
2020-02-24,24,19,0,8,0
2020-02-25,25,20,0,8,0
2020-02-26,21,21,0,6,0
2020-02-27,15,19,0,11,0
2020-02-28,21,23,0,0,0
2020-02-29,14,17,0,0,0
2020-03-01,20,22,0,0,0
2020-03-02,14,21,0,0,0
2020-03-03,17,20,0,6,0
2020-03-04,19,21,0,7,0
2020-03-05,16,18,0,10,0
2020-03-06,20,22,14,0,0
2020-03-07,28,18,33,10,0
2020-03-08,17,17,22,8,0
2020-03-09,32,26,50,16,0
2020-03-10,28,22,51,28,0
2020-03-11,29,33,46,24,0
2020-03-12,38,35,70,39,0
2020-03-13,38,22,73,34,0
2020-03-14,46,33,96,42,0
2020-03-15,52,38,99,55,0
2020-03-16,52,48,97,100,0
2020-03-17,49,37,93,53,0
2020-03-18,42,41,75,48,0
2020-03-19,43,50,70,41,0
2020-03-20,40,39,68,41,0
2020-03-21,35,32,77,33,0
2020-03-22,54,32,79,38,0
2020-03-23,47,36,81,41,0
2020-03-24,50,42,79,38,0
2020-03-25,43,38,71,25,0
2020-03-26,46,29,86,35,0
2020-03-27,42,36,58,22,0
2020-03-28,33,32,48,24,0
2020-03-29,41,32,56,30,0
2020-03-30,37,26,45,25,0
