Category: All categories

Day,cough + ubo: (Central Luzon),fever + lagnat: (Central Luzon),covid symptoms: (Central Luzon),flu + trangkaso: (Central Luzon),swab test: (Central Luzon)
2020-02-01,17,13,0,19,0
2020-02-02,19,16,0,21,0
2020-02-03,18,19,0,16,0
2020-02-04,15,17,0,11,0
2020-02-05,14,18,0,11,0
2020-02-06,13,11,0,8,0
2020-02-07,14,10,0,0,0
2020-02-08,12,13,0,9,0
2020-02-09,12,13,0,11,0
2020-02-10,15,9,0,8,0
2020-02-11,10,15,0,0,0
2020-02-12,11,9,0,7,0
2020-02-13,10,10,0,0,0
2020-02-14,0,14,0,0,0
2020-02-15,9,9,0,0,0
2020-02-16,10,14,0,0,0
2020-02-17,11,15,0,7,0
2020-02-18,10,12,0,7,0
2020-02-19,11,11,0,5,0
2020-02-20,7,12,0,0,0
2020-02-21,0,8,0,0,0
2020-02-22,10,12,0,0,0
2020-02-23,10,14,0,0,0
2020-02-24,12,11,0,6,0
2020-02-25,12,13,0,0,0
2020-02-26,7,8,0,0,0
2020-02-27,10,15,0,0,0
2020-02-28,13,7,0,0,0
2020-02-29,11,11,0,0,0
2020-03-01,16,12,0,0,0
2020-03-02,7,16,0,0,0
2020-03-03,10,10,0,0,0
2020-03-04,10,11,0,0,0
2020-03-05,9,10,7,7,0
2020-03-06,9,7,8,0,0
2020-03-07,11,12,11,0,0
2020-03-08,11,15,8,0,0
2020-03-09,10,13,27,11,0
2020-03-10,11,16,27,10,0
2020-03-11,20,17,26,11,0
2020-03-12,20,16,45,20,0
2020-03-13,23,17,46,19,0
2020-03-14,25,24,61,32,0
2020-03-15,32,21,47,34,0
2020-03-16,32,27,64,100,0
2020-03-17,26,21,52,44,0
2020-03-18,23,22,48,28,0
2020-03-19,22,27,42,27,0
2020-03-20,22,20,36,18,0
2020-03-21,27,17,37,21,0
2020-03-22,24,25,44,19,0
2020-03-23,25,19,43,19,0
2020-03-24,34,23,44,17,0
2020-03-25,31,23,42,12,0
2020-03-26,25,23,44,19,0
2020-03-27,23,20,43,16,0
2020-03-28,25,22,30,17,0
2020-03-29,24,13,32,16,0
2020-03-30,22,13,24,15,0
