Category: All categories

Day,cough + ubo: (Central Visayas),fever + lagnat: (Central Visayas),covid symptoms: (Central Visayas),flu + trangkaso: (Central Visayas),swab test: (Central Visayas)
2020-02-01,25,30,0,31,0
2020-02-02,26,36,0,41,0
2020-02-03,19,28,0,32,0
2020-02-04,29,38,0,20,0
2020-02-05,21,34,0,16,0
2020-02-06,37,35,0,21,0
2020-02-07,23,40,0,13,0
2020-02-08,22,24,0,18,0
2020-02-09,22,30,0,15,0
2020-02-10,26,29,0,0,0
2020-02-11,23,34,0,11,0
2020-02-12,22,27,0,14,0
2020-02-13,21,23,0,11,0
2020-02-14,17,21,0,0,0
2020-02-15,15,29,0,0,0
2020-02-16,18,31,0,0,0
2020-02-17,22,24,0,12,0
2020-02-18,24,27,0,10,0
2020-02-19,22,29,0,0,0
2020-02-20,19,26,0,0,0
2020-02-21,11,30,0,0,0
2020-02-22,27,28,0,0,0
2020-02-23,18,16,0,0,0
2020-02-24,21,20,0,0,0
2020-02-25,14,20,0,12,0
2020-02-26,22,17,0,0,0
2020-02-27,21,23,0,0,0
2020-02-28,0,13,0,0,0
2020-02-29,18,21,0,0,0
2020-03-01,18,22,0,0,0
2020-03-02,20,32,0,0,0
2020-03-03,23,27,0,11,0
2020-03-04,11,16,0,0,0
2020-03-05,19,20,0,0,0
2020-03-06,14,22,0,0,0
2020-03-07,23,15,0,12,0
2020-03-08,13,28,14,0,0
2020-03-09,21,35,20,11,0
2020-03-10,28,18,32,15,0
2020-03-11,23,27,37,17,0
2020-03-12,29,32,61,37,0
2020-03-13,42,26,65,37,0
2020-03-14,43,27,69,40,0
2020-03-15,53,41,78,48,0
2020-03-16,44,43,83,100,0
2020-03-17,54,42,76,61,0
2020-03-18,50,45,85,31,0
2020-03-19,43,35,66,62,0
2020-03-20,36,47,50,44,0
2020-03-21,53,47,60,38,16
2020-03-22,39,28,62,22,0
2020-03-23,59,30,80,41,0
2020-03-24,67,61,87,39,0
2020-03-25,59,30,65,38,0
2020-03-26,42,35,77,47,0
2020-03-27,70,31,73,38,0
2020-03-28,37,48,84,47,0
2020-03-29,44,26,68,37,0
2020-03-30,38,38,54,35,0
