Category: All categories

Day,cough + ubo: (Davao Region),fever + lagnat: (Davao Region),covid symptoms: (Davao Region),flu + trangkaso: (Davao Region),swab test: (Davao Region)
2020-02-01,0,29,0,31,0
2020-02-02,0,36,0,32,0
2020-02-03,0,33,0,0,0
2020-02-04,0,42,0,32,0
2020-02-05,0,29,0,0,0
2020-02-06,0,69,0,0,0
2020-02-07,0,58,0,0,0
2020-02-08,0,33,0,0,0
2020-02-09,34,0,0,0,0
2020-02-10,0,36,0,0,0
2020-02-11,0,46,0,0,0
2020-02-12,0,0,0,0,0
2020-02-13,0,0,0,0,0
2020-02-14,0,0,0,0,0
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,35,28,0,0,0
2020-02-18,25,0,0,0,0
2020-02-19,0,37,0,0,0
2020-02-20,26,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,42,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,28,0,0,0,0
2020-02-26,0,31,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,0,0,0,0,0
2020-02-29,0,0,0,0,0
2020-03-01,0,0,0,0,0
2020-03-02,0,0,0,0,0
2020-03-03,0,0,0,0,0
2020-03-04,0,38,0,0,0
2020-03-05,0,0,0,0,0
2020-03-06,33,29,0,0,0
2020-03-07,0,0,0,0,0
2020-03-08,0,0,0,0,0
2020-03-09,0,31,24,0,0
2020-03-10,0,42,0,0,0
2020-03-11,32,0,39,0,0
2020-03-12,0,28,53,0,0
2020-03-13,42,42,58,38,0
2020-03-14,43,51,60,49,0
2020-03-15,41,0,76,56,0
2020-03-16,31,0,87,100,0
2020-03-17,40,50,73,42,0
2020-03-18,49,28,57,63,0
2020-03-19,30,0,46,34,0
2020-03-20,35,44,78,44,0
2020-03-21,58,52,78,45,0
2020-03-22,47,56,67,0,0
2020-03-23,54,31,83,37,0
2020-03-24,50,31,65,32,0
2020-03-25,58,0,62,49,0
2020-03-26,0,35,74,0,0
2020-03-27,88,0,70,0,0
2020-03-28,0,0,62,0,0
2020-03-29,42,0,63,0,0
2020-03-30,0,0,0,35,0
