Category: All categories

Day,cough + ubo: (Ilocos Region),fever + lagnat: (Ilocos Region),covid symptoms: (Ilocos Region),flu + trangkaso: (Ilocos Region),swab test: (Ilocos Region)
2020-02-01,0,0,0,0,0
2020-02-02,47,0,0,0,0
2020-02-03,41,0,0,31,0
2020-02-04,0,0,0,0,0
2020-02-05,34,0,0,0,0
2020-02-06,0,0,0,0,0
2020-02-07,0,0,0,0,0
2020-02-08,0,0,0,37,0
2020-02-09,0,0,0,0,0
2020-02-10,0,35,0,0,0
2020-02-11,0,0,0,0,0
2020-02-12,0,0,0,0,0
2020-02-13,34,34,0,0,0
2020-02-14,0,0,0,0,0
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,34,39,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,37,31,0,0,0
2020-02-25,0,0,0,0,38
2020-02-26,0,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,0,0,0,0,0
2020-02-29,0,0,0,0,0
2020-03-01,0,0,0,0,0
2020-03-02,0,38,0,0,0
2020-03-03,0,0,0,0,0
2020-03-04,0,0,0,0,0
2020-03-05,32,0,0,0,0
2020-03-06,0,0,0,0,0
2020-03-07,36,0,35,0,0
2020-03-08,0,0,0,0,0
2020-03-09,49,0,35,0,0
2020-03-10,0,32,49,0,0
2020-03-11,0,0,37,0,0
2020-03-12,30,0,79,48,0
2020-03-13,43,37,61,0,0
2020-03-14,43,0,69,33,0
2020-03-15,0,41,54,44,0
2020-03-16,48,0,91,100,0
2020-03-17,59,0,80,47,0
2020-03-18,38,40,34,33,0
2020-03-19,0,0,49,0,0
2020-03-20,64,57,85,35,0
2020-03-21,33,0,78,0,0
2020-03-22,53,0,62,0,0
2020-03-23,52,72,84,33,0
2020-03-24,49,34,39,0,0
2020-03-25,33,34,53,0,0
2020-03-26,77,0,77,0,0
2020-03-27,0,0,70,32,0
2020-03-28,32,0,49,0,0
2020-03-29,35,33,48,0,0
2020-03-30,0,36,46,0,0
