Category: All categories

Day,cough + ubo: (Metro Manila),fever + lagnat: (Metro Manila),covid symptoms: (Metro Manila),flu + trangkaso: (Metro Manila),swab test: (Metro Manila)
2020-02-01,24,23,0,38,0
2020-02-02,23,23,0,31,0
2020-02-03,20,22,0,26,0
2020-02-04,20,22,0,22,0
2020-02-05,21,17,0,16,0
2020-02-06,19,20,0,16,0
2020-02-07,16,16,0,18,0
2020-02-08,17,13,0,12,0
2020-02-09,19,18,0,13,0
2020-02-10,17,16,0,11,0
2020-02-11,14,16,0,11,0
2020-02-12,14,21,0,9,0
2020-02-13,13,16,0,11,0
2020-02-14,11,13,0,8,0
2020-02-15,14,19,0,9,0
2020-02-16,18,16,0,6,0
2020-02-17,14,14,0,7,0
2020-02-18,13,19,2,9,0
2020-02-19,13,18,0,9,0
2020-02-20,15,15,0,6,0
2020-02-21,12,16,0,5,0
2020-02-22,15,15,2,6,0
2020-02-23,15,16,0,4,0
2020-02-24,15,18,0,7,0
2020-02-25,12,17,2,8,0
2020-02-26,14,18,2,7,0
2020-02-27,15,19,3,8,0
2020-02-28,11,16,2,8,0
2020-02-29,13,13,3,8,0
2020-03-01,13,13,0,8,0
2020-03-02,13,17,3,10,0
2020-03-03,13,15,3,8,0
2020-03-04,16,15,2,7,0
2020-03-05,14,15,4,7,0
2020-03-06,14,17,15,5,0
2020-03-07,18,19,33,14,0
2020-03-08,17,22,23,16,0
2020-03-09,27,25,60,25,0
2020-03-10,26,22,50,26,0
2020-03-11,28,24,50,28,0
2020-03-12,34,31,72,35,0
2020-03-13,37,32,79,35,0
2020-03-14,43,41,87,47,0
2020-03-15,52,44,79,52,0
2020-03-16,45,43,91,100,0
2020-03-17,39,39,74,51,0
2020-03-18,43,40,65,38,0
2020-03-19,35,37,62,38,0
2020-03-20,34,39,56,34,0
2020-03-21,40,41,57,32,0
2020-03-22,40,36,63,31,0
2020-03-23,44,30,64,36,0
2020-03-24,39,32,72,25,4
2020-03-25,43,32,66,32,0
2020-03-26,46,35,70,27,0
2020-03-27,36,31,52,25,0
2020-03-28,36,29,46,28,0
2020-03-29,32,27,46,25,0
2020-03-30,25,23,43,23,0
