Category: All categories

Day,cough + ubo: (Northern Mindanao),fever + lagnat: (Northern Mindanao),covid symptoms: (Northern Mindanao),flu + trangkaso: (Northern Mindanao),swab test: (Northern Mindanao)
2020-02-01,0,0,0,57,0
2020-02-02,0,0,0,0,0
2020-02-03,37,0,0,45,0
2020-02-04,36,38,0,0,0
2020-02-05,0,0,0,0,0
2020-02-06,0,49,0,35,0
2020-02-07,0,0,0,0,0
2020-02-08,0,0,0,0,0
2020-02-09,0,0,0,0,0
2020-02-10,0,0,0,0,0
2020-02-11,0,0,0,0,0
2020-02-12,0,0,0,0,0
2020-02-13,0,0,0,0,0
2020-02-14,0,44,0,0,0
2020-02-15,39,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,40,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,0,41,0,0,0
2020-02-28,0,0,0,0,0
2020-02-29,0,0,0,0,0
2020-03-01,0,0,0,0,0
2020-03-02,0,0,0,0,0
2020-03-03,0,36,0,0,0
2020-03-04,0,0,0,0,0
2020-03-05,0,0,0,0,0
2020-03-06,0,0,0,0,0
2020-03-07,0,0,0,0,0
2020-03-08,0,0,0,0,0
2020-03-09,79,0,0,0,0
2020-03-10,0,37,0,0,0
2020-03-11,0,0,49,0,0
2020-03-12,0,0,59,0,0
2020-03-13,0,51,79,0,0
2020-03-14,42,0,97,0,0
2020-03-15,0,55,68,42,0
2020-03-16,47,39,54,64,0
2020-03-17,50,0,100,38,0
2020-03-18,57,0,81,0,0
2020-03-19,52,56,59,44,0
2020-03-20,0,46,66,0,0
2020-03-21,50,0,0,0,0
2020-03-22,0,50,79,0,0
2020-03-23,60,0,47,0,0
2020-03-24,52,0,87,0,0
2020-03-25,0,50,0,0,0
2020-03-26,0,0,0,0,0
2020-03-27,0,49,57,69,0
2020-03-28,0,0,57,0,0
2020-03-29,0,0,0,57,0
2020-03-30,47,0,61,0,0
