Category: All categories

Day,cough + ubo: (Western Visayas),fever + lagnat: (Western Visayas),covid symptoms: (Western Visayas),flu + trangkaso: (Western Visayas),swab test: (Western Visayas)
2020-02-01,0,0,0,0,0
2020-02-02,0,0,0,34,0
2020-02-03,0,34,0,28,0
2020-02-04,35,36,0,0,0
2020-02-05,32,26,0,0,0
2020-02-06,34,0,0,0,0
2020-02-07,49,0,0,0,0
2020-02-08,0,0,0,0,0
2020-02-09,0,0,0,0,0
2020-02-10,0,0,0,0,0
2020-02-11,0,30,0,0,0
2020-02-12,31,0,0,0,0
2020-02-13,29,0,0,0,0
2020-02-14,0,0,0,35,0
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,30,0,0,0,0
2020-02-18,41,0,0,0,0
2020-02-19,41,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,30,0,0,0
2020-02-22,0,0,0,32,0
2020-02-23,0,0,0,0,0
2020-02-24,29,0,0,0,0
2020-02-25,30,39,0,0,0
2020-02-26,35,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,0,0,0,0,0
2020-02-29,0,31,0,0,0
2020-03-01,0,30,0,0,0
2020-03-02,0,0,0,0,0
2020-03-03,0,0,0,0,0
2020-03-04,29,28,0,0,0
2020-03-05,0,0,0,0,0
2020-03-06,0,0,0,0,0
2020-03-07,0,0,0,0,0
2020-03-08,0,0,0,0,0
2020-03-09,32,0,0,27,0
2020-03-10,0,0,28,0,0
2020-03-11,37,38,28,0,0
2020-03-12,26,28,53,41,0
2020-03-13,0,0,65,42,0
2020-03-14,43,37,75,50,0
2020-03-15,64,0,100,36,0
2020-03-16,58,36,66,94,0
2020-03-17,44,46,68,60,0
2020-03-18,39,33,60,37,0
2020-03-19,59,44,57,42,0
2020-03-20,41,54,77,50,0
2020-03-21,57,48,85,0,0
2020-03-22,51,0,97,38,0
2020-03-23,61,57,82,29,0
2020-03-24,37,41,91,36,0
2020-03-25,51,31,96,37,0
2020-03-26,65,32,92,0,0
2020-03-27,62,42,63,30,0
2020-03-28,50,57,64,0,0
2020-03-29,37,0,52,0,0
2020-03-30,65,0,57,0,0
